Student_ID,Cumulative_GPA,Household_Income,Mental_Health_Index,Dropout_Status
STU_0001,2.95,Low,4.9,1
STU_0002,2.63,Low,4.0,1
STU_0003,3.02,Medium,6.1,0
STU_0004,3.46,Medium,8.2,1
STU_0005,2.58,Low,1.7,1
STU_0006,2.58,High,5.7,0
STU_0007,3.49,Low,5.2,1
STU_0008,3.08,Medium,6.8,0
STU_0009,2.47,Medium,5.9,0
STU_0010,2.97,Medium,4.0,0
STU_0011,2.47,Medium,4.9,1
STU_0012,2.47,Medium,3.9,0
STU_0013,2.82,Low,7.7,1
STU_0014,1.74,Medium,5.5,0
STU_0015,1.84,Low,9.3,1
STU_0016,2.42,Medium,5.4,0
STU_0017,2.19,Medium,4.1,0
STU_0018,2.86,Medium,2.5,0
STU_0019,2.25,Low,1.9,1
STU_0020,1.99,Medium,2.3,0
STU_0021,3.43,Medium,6.0,0
STU_0022,2.59,Medium,6.5,0
STU_0023,2.73,Low,2.3,1
STU_0024,1.99,Low,7.3,1
STU_0025,2.43,Low,4.5,1
STU_0026,2.76,Low,5.8,0
STU_0027,2.12,Medium,8.7,1
STU_0028,2.89,Low,7.3,1
STU_0029,2.4,High,5.0,0
STU_0030,2.55,Low,3.7,0
STU_0031,2.4,Low,1.2,0
STU_0032,3.63,Medium,4.1,0
STU_0033,2.69,Medium,5.1,0
STU_0034,2.17,Low,3.5,0
STU_0035,3.11,Medium,5.2,0
STU_0036,2.09,Medium,5.7,0
STU_0037,2.8,Low,5.1,0
STU_0038,1.72,High,4.2,0
STU_0039,2.04,High,5.8,0
STU_0040,2.8,Medium,6.4,0
STU_0041,3.07,Low,3.3,1
STU_0042,2.79,Medium,8.3,0
STU_0043,2.64,Low,5.3,0
STU_0044,2.55,Low,5.5,0
STU_0045,1.96,Low,6.9,1
STU_0046,2.34,Low,6.0,0
STU_0047,2.47,Medium,7.4,0
STU_0048,3.23,Medium,6.1,0
STU_0049,2.87,Medium,4.3,0
STU_0050,1.82,Low,6.2,1
STU_0051,2.86,Low,3.2,0
STU_0052,2.51,Low,5.7,0
STU_0053,2.36,High,5.4,0
STU_0054,3.01,Low,5.1,1
STU_0055,3.22,Medium,5.2,0
STU_0056,3.17,Medium,1.7,0
STU_0057,2.28,Low,4.4,0
STU_0058,2.55,Medium,5.7,0
STU_0059,2.87,Low,5.8,0
STU_0060,3.19,Medium,3.4,0
STU_0061,2.46,High,8.0,1
STU_0062,2.61,Low,3.8,0
STU_0063,2.15,Low,7.4,1
STU_0064,2.1,Medium,6.4,0
STU_0065,3.11,High,4.2,0
STU_0066,3.38,Low,9.1,1
STU_0067,2.66,Medium,3.1,0
STU_0068,3.2,Medium,7.3,1
STU_0069,2.88,Medium,7.5,1
STU_0070,2.38,Low,4.2,1
STU_0071,2.88,Medium,8.3,0
STU_0072,3.47,High,5.0,0
STU_0073,2.68,Low,6.1,0
STU_0074,3.48,Low,6.0,0
STU_0075,1.39,High,5.2,0
STU_0076,3.11,Low,7.1,1
STU_0077,2.74,Medium,7.1,0
STU_0078,2.55,Low,2.0,0
STU_0079,2.75,Low,8.1,1
STU_0080,1.71,Medium,2.2,1
STU_0081,2.59,Low,7.6,1
STU_0082,2.88,Medium,7.8,0
STU_0083,3.44,Low,3.3,0
STU_0084,2.44,Medium,4.7,0
STU_0085,2.3,Low,3.3,0
STU_0086,2.45,Low,5.1,1
STU_0087,3.16,High,4.9,0
STU_0088,2.86,Low,7.1,0
STU_0089,2.44,Medium,8.1,1
STU_0090,2.96,Low,8.3,1
STU_0091,2.75,Medium,4.4,1
STU_0092,3.18,Low,5.1,0
STU_0093,2.35,High,2.1,0
STU_0094,2.54,Low,3.9,0
STU_0095,2.5,Low,7.4,0
STU_0096,1.97,Low,8.7,1
STU_0097,2.85,Low,3.0,0
STU_0098,2.83,Medium,4.3,0
STU_0099,2.7,Low,5.4,1
STU_0100,2.58,Medium,6.1,0
STU_0101,1.99,Low,3.9,0
STU_0102,2.49,Low,6.3,1
STU_0103,2.53,Medium,4.6,0
STU_0104,2.3,Medium,5.5,0
STU_0105,2.62,Low,6.6,1
STU_0106,2.9,Low,5.5,0
STU_0107,3.64,Low,4.6,0
STU_0108,2.79,Medium,5.3,0
STU_0109,2.83,Medium,5.3,0
STU_0110,2.66,Low,4.8,1
STU_0111,1.74,Medium,5.0,1
STU_0112,2.69,Medium,8.7,0
STU_0113,2.73,Medium,6.6,0
STU_0114,3.93,Medium,4.9,0
STU_0115,2.6,Low,6.9,0
STU_0116,2.85,Low,4.8,1
STU_0117,2.68,Low,7.8,0
STU_0118,2.12,Low,6.2,1
STU_0119,3.27,Medium,5.3,1
STU_0120,3.08,High,6.4,0
STU_0121,3.1,Low,2.4,1
STU_0122,2.25,Low,3.2,0
STU_0123,3.4,Low,3.1,0
STU_0124,2.0,High,5.8,0
STU_0125,2.99,Low,9.0,1
STU_0126,3.8,Medium,10.0,0
STU_0127,2.2,Low,6.8,1
STU_0128,2.42,Low,6.5,1
STU_0129,2.75,High,1.9,0
STU_0130,2.45,High,4.4,0
STU_0131,1.92,Low,3.9,0
STU_0132,2.73,High,4.3,0
STU_0133,2.17,Medium,5.2,1
STU_0134,2.94,Medium,4.6,0
STU_0135,2.24,Low,1.5,1
STU_0136,3.47,Medium,7.0,1
STU_0137,2.31,Low,3.4,0
STU_0138,2.54,Medium,6.0,0
STU_0139,3.11,Low,9.6,0
STU_0140,2.08,Low,3.7,1
STU_0141,2.81,Low,1.0,1
STU_0142,3.35,Medium,4.9,0
STU_0143,1.9,Low,7.7,1
STU_0144,2.79,Medium,9.4,0
STU_0145,2.83,High,3.0,0
STU_0146,3.09,Low,6.5,1
STU_0147,2.08,Medium,4.6,0
STU_0148,2.04,Low,5.3,1
STU_0149,2.96,Medium,10.0,0
STU_0150,2.85,Low,2.5,0
STU_0151,2.83,Medium,6.0,0
STU_0152,2.87,Medium,6.4,0
STU_0153,2.36,High,7.7,1
STU_0154,2.82,Medium,5.7,1
STU_0155,2.85,Low,6.1,0
STU_0156,2.34,Medium,4.7,0
STU_0157,3.63,Medium,6.0,0
STU_0158,2.94,Medium,4.8,0
STU_0159,2.1,Low,6.7,1
STU_0160,3.03,High,4.8,1
STU_0161,2.21,Medium,6.3,0
STU_0162,3.09,Medium,5.4,0
STU_0163,3.28,Low,7.8,0
STU_0164,2.29,Medium,5.4,0
STU_0165,3.18,Low,2.0,0
STU_0166,2.91,Medium,8.0,0
STU_0167,3.11,Low,3.7,1
STU_0168,3.65,Medium,4.2,0
STU_0169,2.58,High,4.3,0
STU_0170,2.32,Low,8.2,0
STU_0171,2.26,High,1.2,0
STU_0172,2.29,Low,10.0,1
STU_0173,2.66,Medium,7.6,1
STU_0174,2.87,Medium,5.9,0
STU_0175,2.84,Medium,5.4,1
STU_0176,3.11,Medium,6.1,0
STU_0177,2.71,Medium,6.5,0
STU_0178,3.43,Low,6.8,0
STU_0179,2.57,Low,6.6,0
STU_0180,4.0,Medium,5.7,0
STU_0181,3.01,Medium,5.1,0
STU_0182,2.27,Medium,5.2,1
STU_0183,2.16,Medium,5.1,1
STU_0184,2.94,Low,7.8,1
STU_0185,2.59,Medium,6.7,0
STU_0186,3.06,Low,1.0,0
STU_0187,2.94,Medium,6.8,0
STU_0188,2.66,Low,5.9,1
STU_0189,2.28,Low,5.5,1
STU_0190,1.94,Low,4.7,0
STU_0191,2.48,Low,7.7,1
STU_0192,3.13,Medium,7.4,1
STU_0193,2.81,Low,4.0,1
STU_0194,2.08,Low,6.3,1
STU_0195,2.79,Low,3.6,1
STU_0196,2.89,Low,2.7,0
STU_0197,2.26,Low,4.2,0
STU_0198,2.78,Low,7.2,1
STU_0199,2.73,Medium,7.4,1
STU_0200,2.13,Medium,6.5,1
STU_0201,2.88,Medium,7.0,0
STU_0202,2.98,Low,6.5,0
STU_0203,3.24,Low,4.2,0
STU_0204,3.23,Medium,6.4,0
STU_0205,2.01,Medium,7.1,0
STU_0206,2.23,Low,7.0,0
STU_0207,2.96,Low,7.9,0
STU_0208,2.96,Low,6.9,1
STU_0209,2.96,Low,6.2,1
STU_0210,4.0,Low,7.6,1
STU_0211,2.99,Medium,5.4,0
STU_0212,3.27,Medium,3.7,0
STU_0213,3.18,Medium,5.2,0
STU_0214,3.03,Medium,4.0,0
STU_0215,2.54,Medium,4.1,0
STU_0216,3.08,Medium,5.2,0
STU_0217,2.31,High,3.9,0
STU_0218,2.58,Low,4.9,0
STU_0219,2.46,Low,1.7,1
STU_0220,2.74,Low,5.9,1
STU_0221,3.86,Medium,5.5,0
STU_0222,1.77,Medium,3.9,1
STU_0223,3.04,Low,6.8,0
STU_0224,1.89,High,7.4,0
STU_0225,2.46,Low,2.3,1
STU_0226,3.24,High,4.0,0
STU_0227,2.73,Low,4.0,0
STU_0228,2.16,Low,3.6,1
STU_0229,2.34,Low,7.2,1
STU_0230,3.04,Low,5.1,1
STU_0231,2.33,Low,5.0,0
STU_0232,2.81,Low,1.5,0
STU_0233,2.72,Medium,6.8,0
STU_0234,2.37,Medium,3.0,0
STU_0235,3.77,Low,5.6,0
STU_0236,3.02,Medium,6.1,0
STU_0237,1.69,Medium,8.2,1
STU_0238,2.79,Low,2.9,0
STU_0239,2.37,Low,1.0,0
STU_0240,3.13,Low,5.9,0
STU_0241,2.3,Low,9.1,0
STU_0242,2.64,Medium,8.0,0
STU_0243,2.95,Low,5.9,0
STU_0244,3.13,Medium,4.5,0
STU_0245,2.1,Medium,7.1,1
STU_0246,2.53,Low,3.6,1
STU_0247,2.46,Medium,6.5,1
STU_0248,2.37,Low,6.5,0
STU_0249,3.58,High,7.6,0
STU_0250,2.9,Low,10.0,1
STU_0251,2.07,Medium,6.3,0
STU_0252,3.16,Medium,4.5,0
STU_0253,3.76,Low,5.4,1
STU_0254,3.22,Medium,2.0,0
STU_0255,1.94,High,4.1,1
STU_0256,2.46,Medium,4.7,1
STU_0257,3.33,Medium,4.5,0
STU_0258,2.35,Medium,5.8,0
STU_0259,2.92,Low,3.9,1
STU_0260,3.09,Low,7.7,0
STU_0261,2.24,Medium,5.5,0
STU_0262,2.67,Low,5.5,1
STU_0263,1.08,Medium,4.8,1
STU_0264,2.19,High,5.8,0
STU_0265,2.57,Low,7.2,1
STU_0266,2.08,Low,3.8,0
STU_0267,3.52,Medium,4.2,0
STU_0268,1.98,Low,4.9,0
STU_0269,2.48,Medium,2.8,0
STU_0270,2.77,Low,3.9,0
STU_0271,3.42,Medium,4.5,0
STU_0272,1.98,Low,7.2,1
STU_0273,3.28,Medium,6.0,1
STU_0274,2.71,Low,5.9,1
STU_0275,2.21,Medium,7.2,0
STU_0276,2.93,Low,5.2,0
STU_0277,2.8,Medium,6.3,0
STU_0278,2.4,Medium,5.3,0
STU_0279,2.73,Low,6.0,1
STU_0280,2.51,Low,4.3,0
STU_0281,2.76,Low,1.0,1
STU_0282,3.03,Medium,5.2,0
STU_0283,3.49,Medium,8.3,0
STU_0284,2.08,Medium,7.4,1
STU_0285,3.77,Low,7.4,1
STU_0286,1.72,Low,8.0,1
STU_0287,2.62,Medium,5.7,0
STU_0288,2.99,Low,5.9,1
STU_0289,2.84,High,4.3,0
STU_0290,2.39,Low,4.9,1
STU_0291,2.6,Medium,6.7,0
STU_0292,2.45,Low,7.9,1
STU_0293,2.41,Low,5.2,0
STU_0294,3.12,Medium,4.6,0
STU_0295,2.88,Medium,5.5,0
STU_0296,2.35,High,6.7,0
STU_0297,3.15,Low,2.6,0
STU_0298,2.85,Low,1.0,1
STU_0299,3.11,Medium,4.4,0
STU_0300,3.01,Medium,3.1,0
STU_0301,2.29,Low,4.5,0
STU_0302,2.42,Low,5.2,1
STU_0303,3.07,Low,4.6,0
STU_0304,3.01,Medium,8.4,0
STU_0305,2.69,Low,6.2,0
STU_0306,2.76,Low,6.1,1
STU_0307,3.34,Low,6.7,0
STU_0308,2.4,Low,3.2,0
STU_0309,2.97,Low,7.6,1
STU_0310,2.6,Medium,5.3,0
STU_0311,2.59,Low,6.8,0
STU_0312,3.25,Medium,3.4,0
STU_0313,3.11,Low,2.4,0
STU_0314,3.11,Medium,7.1,1
STU_0315,3.35,Medium,6.3,0
STU_0316,2.71,Medium,3.7,0
STU_0317,3.04,Medium,3.8,0
STU_0318,2.54,Low,7.8,0
STU_0319,2.86,Low,3.1,0
STU_0320,2.63,Medium,8.8,1
STU_0321,2.75,High,3.7,0
STU_0322,3.0,Medium,6.8,0
STU_0323,2.29,Medium,4.8,0
STU_0324,3.75,Medium,6.7,0
STU_0325,2.2,Low,4.4,0
STU_0326,2.09,Low,5.2,1
STU_0327,3.28,Medium,5.6,0
STU_0328,3.1,High,3.5,0
STU_0329,3.01,Low,7.0,1
STU_0330,3.01,Medium,4.5,0
STU_0331,2.69,Low,5.0,0
STU_0332,2.25,Medium,3.5,0
STU_0333,2.74,Low,1.0,0
STU_0334,2.36,Low,5.1,1
STU_0335,3.19,Medium,10.0,0
STU_0336,2.63,Low,7.1,1
STU_0337,2.29,Medium,5.5,0
STU_0338,2.54,Medium,5.0,0
STU_0339,2.91,High,5.5,1
STU_0340,2.42,Low,6.6,0
STU_0341,2.29,Low,3.1,1
STU_0342,2.82,Low,7.7,0
STU_0343,2.82,High,6.9,0
STU_0344,2.45,High,6.9,0
STU_0345,2.46,Medium,6.4,0
STU_0346,2.82,Medium,5.5,0
STU_0347,1.98,Medium,6.8,0
STU_0348,2.0,Medium,6.7,1
STU_0349,2.34,Low,4.8,0
STU_0350,2.59,Medium,4.4,0
STU_0351,2.86,Low,5.7,0
STU_0352,3.44,Medium,8.6,0
STU_0353,3.13,Medium,3.0,0
STU_0354,2.62,Medium,2.6,0
STU_0355,2.69,Low,5.8,0
STU_0356,2.2,Low,5.6,1
STU_0357,2.69,Low,5.8,0
STU_0358,2.56,Low,6.0,0
STU_0359,2.86,Low,5.1,0
STU_0360,2.29,High,8.5,0
STU_0361,2.96,Medium,2.3,0
STU_0362,3.47,Low,3.8,0
STU_0363,2.65,Low,5.3,0
STU_0364,2.9,Low,2.2,0
STU_0365,3.05,Medium,5.1,0
STU_0366,2.5,Medium,8.8,0
STU_0367,2.81,High,5.5,0
STU_0368,2.71,Low,6.0,1
STU_0369,2.75,High,3.0,0
STU_0370,2.31,Medium,4.3,0
STU_0371,2.71,Low,4.7,0
STU_0372,2.95,High,4.9,0
STU_0373,3.43,Low,8.1,1
STU_0374,3.18,Medium,6.6,0
STU_0375,3.78,Low,3.3,1
STU_0376,2.32,Medium,6.0,0
STU_0377,3.14,Medium,6.5,1
STU_0378,2.79,Medium,7.8,0
STU_0379,3.79,Medium,8.7,0
STU_0380,2.3,Low,3.5,1
STU_0381,2.28,Low,3.9,0
STU_0382,2.4,Low,3.0,1
STU_0383,1.64,Low,5.0,1
STU_0384,2.44,Medium,6.4,0
STU_0385,2.32,Low,7.5,0
STU_0386,2.78,High,5.3,0
STU_0387,2.87,Medium,4.9,0
STU_0388,3.64,Medium,5.8,0
STU_0389,3.18,Low,3.8,0
STU_0390,2.41,Medium,9.7,1
STU_0391,2.25,High,2.3,0
STU_0392,2.95,Low,5.9,0
STU_0393,2.04,Medium,9.5,1
STU_0394,3.62,Medium,5.5,0
STU_0395,3.29,Low,5.1,0
STU_0396,2.47,Medium,4.8,0
STU_0397,1.84,Low,5.1,1
STU_0398,3.38,Low,8.2,1
STU_0399,2.64,Low,1.1,1
STU_0400,3.32,Low,8.6,1
STU_0401,1.9,Low,2.7,1
STU_0402,2.4,Low,5.0,1
STU_0403,2.7,High,4.6,0
STU_0404,2.72,Medium,6.7,0
STU_0405,2.47,High,2.3,0
STU_0406,3.01,Low,6.4,0
STU_0407,2.17,Low,9.5,1
STU_0408,2.63,Medium,2.8,0
STU_0409,2.76,Low,5.9,1
STU_0410,2.96,Low,4.2,1
STU_0411,3.06,Medium,6.4,0
STU_0412,2.14,Low,5.5,1
STU_0413,1.93,Medium,4.2,1
STU_0414,3.34,Medium,6.5,0
STU_0415,2.87,Low,9.1,1
STU_0416,2.33,Low,5.1,0
STU_0417,3.48,Medium,6.9,0
STU_0418,2.76,Low,2.9,1
STU_0419,3.29,Low,3.6,1
STU_0420,2.73,High,6.4,0
STU_0421,3.73,Low,8.5,0
STU_0422,3.58,Medium,6.2,0
STU_0423,2.58,High,4.9,1
STU_0424,3.19,Low,5.5,1
STU_0425,3.02,Low,3.0,0
STU_0426,3.38,Low,6.7,1
STU_0427,2.22,Low,7.3,1
STU_0428,3.04,Low,4.6,0
STU_0429,3.23,Medium,4.6,1
STU_0430,1.82,Low,6.0,1
STU_0431,2.11,Medium,4.6,1
STU_0432,1.68,High,5.4,1
STU_0433,2.57,Medium,9.7,0
STU_0434,3.06,Medium,5.0,0
STU_0435,3.45,Low,4.8,0
STU_0436,2.74,Medium,4.2,0
STU_0437,3.51,Medium,7.0,0
STU_0438,2.01,Low,5.1,1
STU_0439,1.85,Low,4.2,1
STU_0440,2.67,Medium,8.1,0
STU_0441,2.89,Low,8.3,1
